N,N_V9,N_V832_error,N_v832_correct,description
15695,21705,15695,5695,GEOGKEY matches
16053,21706,16053,6053,GEOGKEY matches
21319,21707,21319,11319,GEOGKEY matches
21180,21708,21180,11180,GEOGKEY matches
14773,21709,14773,4773,GEOGKEY matches
21548,21710,21548,11548,GEOGKEY matches
15274,21711,15274,5274,GEOGKEY matches
15214,21712,15214,5214,GEOGKEY matches
18711,21713,18711,8711,GEOGKEY matches
14920,21714,14920,4920,GEOGKEY matches
17853,21715,17853,7853,GEOGKEY matches
20174,21716,20174,10174,GEOGKEY matches
21179,21717,21179,11179,GEOGKEY matches
21154,21718,21154,11154,GEOGKEY matches
21139,21719,21139,11139,GEOGKEY matches
21426,21720,21426,11426,GEOGKEY matches
14772,21721,14772,4772,GEOGKEY matches
20858,21722,20858,10858,GEOGKEY matches
20437,21723,20437,10437,GEOGKEY matches
31267,21724,31267,21267,GEOGKEY matches
15569,21725,15569,5569,GEOGKEY matches
20175,21726,20175,10175,GEOGKEY matches
16335,21727,16335,6335,GEOGKEY matches
21071,21728,21071,11071,GEOGKEY matches
31359,21729,31359,21359,GEOGKEY matches
18080,21730,18080,8080,GEOGKEY matches
21259,21731,21259,11259,GEOGKEY matches
20438,21732,20438,10438,GEOGKEY matches
21141,21733,21141,11141,GEOGKEY matches
15349,21734,15349,5349,GEOGKEY matches
15674,21735,15674,5674,GEOGKEY matches
14892,21736,14892,4892,GEOGKEY matches
17202,21737,17202,7202,GEOGKEY matches
21084,21738,21084,11084,GEOGKEY matches
14487,21739,14487,4487,GEOGKEY matches
22274,21740,22274,12274,GEOGKEY matches
21117,21741,21117,11117,GEOGKEY matches
21701,21742,21701,11701,GEOGKEY matches
15328,21743,15328,5328,GEOGKEY matches
15988,21744,15988,5988,GEOGKEY matches
15690,21745,15690,5690,GEOGKEY matches
19510,21746,19510,9510,GEOGKEY matches
20843,21747,20843,10843,GEOGKEY matches
15311,21748,15311,5311,GEOGKEY matches
19514,21749,19514,9514,GEOGKEY matches
15682,21750,15682,5682,GEOGKEY matches
15271,21751,15271,5271,GEOGKEY matches
13906,21752,13906,3906,GEOGKEY matches
21832,21753,21832,11832,GEOGKEY matches
18679,21754,18679,8679,GEOGKEY matches
17633,21755,17633,7633,GEOGKEY matches
17343,21756,17343,7343,GEOGKEY matches
17716,21757,17716,7716,GEOGKEY matches
15211,21758,15211,5211,GEOGKEY matches
21801,21759,21801,11801,GEOGKEY matches
16253,21760,16253,6253,GEOGKEY matches
15107,21761,15107,5107,GEOGKEY matches
13555,21762,13555,3555,GEOGKEY matches
19469,21763,19469,9469,GEOGKEY matches
17949,21764,17949,7949,GEOGKEY matches
15787,21765,15787,5787,GEOGKEY matches
16165,21766,16165,6165,GEOGKEY matches
31555,21767,31555,21555,GEOGKEY matches
19515,21768,19515,9515,GEOGKEY matches
40006,21769,40006,30006,GEOGKEY matches
18685,21770,18685,8685,GEOGKEY matches
20347,21771,20347,10347,GEOGKEY matches
15587,21772,15587,5587,GEOGKEY matches
31045,21773,31045,21045,GEOGKEY matches
17168,21774,17168,7168,GEOGKEY matches
15694,21775,15694,5694,GEOGKEY matches
15732,21776,15732,5732,GEOGKEY matches
31556,21777,31556,21556,GEOGKEY matches
31074,21778,31074,21074,GEOGKEY matches
16163,21779,16163,6163,GEOGKEY matches
20348,21780,20348,10348,GEOGKEY matches
14862,21781,14862,4862,GEOGKEY matches
15287,21782,15287,5287,GEOGKEY matches
18078,21783,18078,8078,GEOGKEY matches
13554,21784,13554,3554,GEOGKEY matches
14668,21785,14668,4668,GEOGKEY matches
17386,21786,17386,7386,GEOGKEY matches
13708,21787,13708,3708,GEOGKEY matches
16256,21788,16256,6256,GEOGKEY matches
15671,21789,15671,5671,GEOGKEY matches
16236,21790,16236,6236,GEOGKEY matches
15416,21791,15416,5416,GEOGKEY matches
21136,21792,21136,11136,GEOGKEY matches
21034,21793,21034,11034,GEOGKEY matches
15693,21794,15693,5693,GEOGKEY matches
14343,21795,14343,4343,GEOGKEY matches
20447,21796,20447,10447,GEOGKEY matches
17219,21797,17219,7219,GEOGKEY matches
21703,21798,21703,11703,GEOGKEY matches
14825,21799,14825,4825,GEOGKEY matches
20407,21800,20407,10407,GEOGKEY matches
21155,21801,21155,11155,GEOGKEY matches
21075,21802,21075,11075,GEOGKEY matches
20857,21803,20857,10857,GEOGKEY matches
21035,21804,21035,11035,GEOGKEY matches
19511,21805,19511,9511,GEOGKEY matches
30058,21806,30058,20058,GEOGKEY matches
21119,21807,21119,11119,GEOGKEY matches
14219,21808,14219,4219,GEOGKEY matches
21171,21809,21171,11171,GEOGKEY matches
21158,21810,21158,11158,GEOGKEY matches
20142,21811,20142,10142,GEOGKEY matches
15210,21812,15210,5210,GEOGKEY matches
20135,21813,20135,10135,GEOGKEY matches
30057,21814,30057,20057,GEOGKEY matches
21812,21815,21812,11812,GEOGKEY matches
15275,21816,15275,5275,GEOGKEY matches
16233,21817,16233,6233,GEOGKEY matches
15174,21818,15174,5174,GEOGKEY matches
22297,21819,22297,12297,GEOGKEY matches
20435,21820,20435,10435,GEOGKEY matches
19185,21821,19185,9185,GEOGKEY matches
31446,21822,31446,21446,GEOGKEY matches
15986,21823,15986,5986,GEOGKEY matches
15689,21824,15689,5689,GEOGKEY matches
15389,21825,15389,5389,GEOGKEY matches
16242,21826,16242,6242,GEOGKEY matches
17697,21827,17697,7697,GEOGKEY matches
17958,21828,17958,7958,GEOGKEY matches
15654,21829,15654,5654,GEOGKEY matches
21181,21830,21181,11181,GEOGKEY matches
21056,21831,21056,11056,GEOGKEY matches
31447,21832,31447,21447,GEOGKEY matches
21182,21833,21182,11182,GEOGKEY matches
18083,21834,18083,8083,GEOGKEY matches
20436,21835,20436,10436,GEOGKEY matches
13775,21836,13775,3775,GEOGKEY matches
16028,21837,16028,6028,GEOGKEY matches
15232,21838,15232,5232,GEOGKEY matches
21558,21839,21558,11558,GEOGKEY matches
20345,21840,20345,10345,GEOGKEY matches
21036,21841,21036,11036,GEOGKEY matches
15273,21842,15273,5273,GEOGKEY matches
15105,21843,15105,5105,GEOGKEY matches
31044,21844,31044,21044,GEOGKEY matches
14572,21845,14572,4572,GEOGKEY matches
31075,21846,31075,21075,GEOGKEY matches
16255,21847,16255,6255,GEOGKEY matches
21143,21848,21143,11143,GEOGKEY matches
15691,21849,15691,5691,GEOGKEY matches
20346,21850,20346,10346,GEOGKEY matches
22267,21851,22267,12267,GEOGKEY matches
15868,21852,15868,5868,GEOGKEY matches
21816,21853,21816,11816,GEOGKEY matches
16041,21854,16041,6041,GEOGKEY matches
21624,21855,21624,11624,GEOGKEY matches
15111,21856,15111,5111,GEOGKEY matches
15894,21857,15894,5894,GEOGKEY matches
16137,21858,16137,6137,GEOGKEY matches
15023,21859,15023,5023,GEOGKEY matches
15070,21860,15070,5070,GEOGKEY matches
15901,21861,15901,5901,GEOGKEY matches
20848,21862,20848,10848,GEOGKEY matches
40007,21863,40007,30007,GEOGKEY matches
22266,21864,22266,12266,GEOGKEY matches
15401,21866,15401,5401,GEOGKEY matches
13981,21867,13981,3981,GEOGKEY matches
20846,21868,20846,10846,GEOGKEY matches
21113,21869,21113,11113,GEOGKEY matches
13900,21870,13900,3900,GEOGKEY matches
15173,21871,15173,5173,GEOGKEY matches
15571,21872,15571,5571,GEOGKEY matches
16929,21873,16929,6929,GEOGKEY matches
20954,21874,20954,10954,GEOGKEY matches
15903,21875,15903,5903,GEOGKEY matches
15327,21876,15327,5327,GEOGKEY matches
21307,21877,21307,11307,GEOGKEY matches
14347,21878,14347,4347,GEOGKEY matches
14776,21879,14776,4776,GEOGKEY matches
15281,21880,15281,5281,GEOGKEY matches
17849,21881,17849,7849,GEOGKEY matches
20845,21882,20845,10845,GEOGKEY matches
18010,21883,18010,8010,GEOGKEY matches
14282,21884,14282,4282,GEOGKEY matches
20844,21885,20844,10844,GEOGKEY matches
18707,21886,18707,8707,GEOGKEY matches
15656,21887,15656,5656,GEOGKEY matches
21157,21888,21157,11157,GEOGKEY matches
14345,21889,14345,4345,GEOGKEY matches
15219,21890,15219,5219,GEOGKEY matches
15158,21891,15158,5158,GEOGKEY matches
21183,21892,21183,11183,GEOGKEY matches
14951,21893,14951,4951,GEOGKEY matches
20847,21894,20847,10847,GEOGKEY matches
15422,21895,15422,5422,GEOGKEY matches
21159,21896,21159,11159,GEOGKEY matches
21172,21897,21172,11172,GEOGKEY matches
15934,21898,15934,5934,GEOGKEY matches
17696,21899,17696,7696,GEOGKEY matches
18114,21900,18114,8114,GEOGKEY matches
15566,21901,15566,5566,GEOGKEY matches
21037,21902,21037,11037,GEOGKEY matches
17910,21903,17910,7910,GEOGKEY matches
19516,21904,19516,9516,GEOGKEY matches
21120,21905,21120,11120,GEOGKEY matches
19506,21906,19506,9506,GEOGKEY matches
21027,21907,21027,11027,GEOGKEY matches
18713,21908,18713,8713,GEOGKEY matches
20861,21909,20861,10861,GEOGKEY matches
16136,21910,16136,6136,GEOGKEY matches
15277,21911,15277,5277,GEOGKEY matches
15688,21912,15688,5688,GEOGKEY matches
21038,21913,21038,11038,GEOGKEY matches
15902,21914,15902,5902,GEOGKEY matches
15216,21915,15216,5216,GEOGKEY matches
14348,21916,14348,4348,GEOGKEY matches
21028,21917,21028,11028,GEOGKEY matches
16245,21918,16245,6245,GEOGKEY matches
22268,21919,22268,12268,GEOGKEY matches
20944,21920,20944,10944,GEOGKEY matches
17964,21921,17964,7964,GEOGKEY matches
21052,21922,21052,11052,GEOGKEY matches
20167,21923,20167,10167,GEOGKEY matches
31043,21924,31043,21043,GEOGKEY matches
21054,21925,21054,11054,GEOGKEY matches
22299,21926,22299,12299,GEOGKEY matches
21493,21927,21493,11493,GEOGKEY matches
31076,21928,31076,21076,GEOGKEY matches
20862,21929,20862,10862,GEOGKEY matches
20168,21930,20168,10168,GEOGKEY matches
21053,21931,21053,11053,GEOGKEY matches
19517,21932,19517,9517,GEOGKEY matches
15215,21933,15215,5215,GEOGKEY matches
18092,21934,18092,8092,GEOGKEY matches
15573,21935,15573,5573,GEOGKEY matches
17648,21936,17648,7648,GEOGKEY matches
15658,21937,15658,5658,GEOGKEY matches
21029,21938,21029,11029,GEOGKEY matches
16906,21939,16906,6906,GEOGKEY matches
21050,21940,21050,11050,GEOGKEY matches
15233,21941,15233,5233,GEOGKEY matches
17495,21942,17495,7495,GEOGKEY matches
15618,21943,15618,5618,GEOGKEY matches
31424,21944,31424,21424,GEOGKEY matches
17293,21945,17293,7293,GEOGKEY matches
31423,21946,31423,21423,GEOGKEY matches
17291,21947,17291,7291,GEOGKEY matches
15112,21948,15112,5112,GEOGKEY matches
14157,21949,14157,4157,GEOGKEY matches
14220,21950,14220,4220,GEOGKEY matches
21030,21951,21030,11030,GEOGKEY matches
15582,21952,15582,5582,GEOGKEY matches
15012,21953,15012,5012,GEOGKEY matches
21040,21954,21040,11040,GEOGKEY matches
15588,21955,15588,5588,GEOGKEY matches
40009,21956,40009,30009,GEOGKEY matches
19519,21957,19519,9519,GEOGKEY matches
15356,21958,15356,5356,GEOGKEY matches
14891,21959,14891,4891,GEOGKEY matches
17850,21960,17850,7850,GEOGKEY matches
20397,21961,20397,10397,GEOGKEY matches
14782,21962,14782,4782,GEOGKEY matches
16948,21963,16948,6948,GEOGKEY matches
31077,21964,31077,21077,GEOGKEY matches
15087,21965,15087,5087,GEOGKEY matches
20568,21966,20568,10568,GEOGKEY matches
15660,21967,15660,5660,GEOGKEY matches
14688,21968,14688,4688,GEOGKEY matches
17930,21969,17930,7930,GEOGKEY matches
20569,21970,20569,10569,GEOGKEY matches
31042,21971,31042,21042,GEOGKEY matches
17574,21972,17574,7574,GEOGKEY matches
21507,21973,21507,11507,GEOGKEY matches
21144,21974,21144,11144,GEOGKEY matches
21039,21975,21039,11039,GEOGKEY matches
14574,21976,14574,4574,GEOGKEY matches
19966,21977,19966,9966,GEOGKEY matches
14290,21978,14290,4290,GEOGKEY matches
19531,21979,19531,9531,GEOGKEY matches
19530,21980,19530,9530,GEOGKEY matches
15239,21981,15239,5239,GEOGKEY matches
14349,21982,14349,4349,GEOGKEY matches
19529,21983,19529,9529,GEOGKEY matches
15978,21984,15978,5978,GEOGKEY matches
19520,21985,19520,9520,GEOGKEY matches
15357,21986,15357,5357,GEOGKEY matches
15625,21987,15625,5625,GEOGKEY matches
17575,21988,17575,7575,GEOGKEY matches
17478,21989,17478,7478,GEOGKEY matches
19999,21990,19999,9999,GEOGKEY matches
21156,21991,21156,11156,GEOGKEY matches
19545,21992,19545,9545,GEOGKEY matches
18002,21993,18002,8002,GEOGKEY matches
14212,21994,14212,4212,GEOGKEY matches
21033,21995,21033,11033,GEOGKEY matches
21160,21996,21160,11160,GEOGKEY matches
21049,21997,21049,11049,GEOGKEY matches
17955,21998,17955,7955,GEOGKEY matches
20114,21999,20114,10114,GEOGKEY matches
15282,22000,15282,5282,GEOGKEY matches
20433,22001,20433,10433,GEOGKEY matches
31265,22002,31265,21265,GEOGKEY matches
14783,22003,14783,4783,GEOGKEY matches
21813,22004,21813,11813,GEOGKEY matches
21184,22005,21184,11184,GEOGKEY matches
20106,22006,20106,10106,GEOGKEY matches
17577,22007,17577,7577,GEOGKEY matches
31361,22008,31361,21361,GEOGKEY matches
21042,22009,21042,11042,GEOGKEY matches
20434,22010,20434,10434,GEOGKEY matches
20343,22011,20343,10343,GEOGKEY matches
15949,22012,15949,5949,GEOGKEY matches
13741,22013,13741,3741,GEOGKEY matches
19521,22014,19521,9521,GEOGKEY matches
21041,22015,21041,11041,GEOGKEY matches
15589,22016,15589,5589,GEOGKEY matches
17479,22017,17479,7479,GEOGKEY matches
17573,22018,17573,7573,GEOGKEY matches
17576,22019,17576,7576,GEOGKEY matches
14781,22020,14781,4781,GEOGKEY matches
21043,22021,21043,11043,GEOGKEY matches
21173,22022,21173,11173,GEOGKEY matches
15987,22023,15987,5987,GEOGKEY matches
21272,22024,21272,11272,GEOGKEY matches
17494,22025,17494,7494,GEOGKEY matches
21121,22026,21121,11121,GEOGKEY matches
13689,22027,13689,3689,GEOGKEY matches
19546,22028,19546,9546,GEOGKEY matches
15583,22029,15583,5583,GEOGKEY matches
31078,22030,31078,21078,GEOGKEY matches
20165,22031,20165,10165,GEOGKEY matches
20166,22032,20166,10166,GEOGKEY matches
17940,22033,17940,7940,GEOGKEY matches
22265,22034,22265,12265,GEOGKEY matches
21032,22035,21032,11032,GEOGKEY matches
31041,22036,31041,21041,GEOGKEY matches
21044,22037,21044,11044,GEOGKEY matches
32038,22038,32038,922038,New v9 Highway Node
21110,22039,21110,11110,GEOGKEY matches
17477,22040,17477,7477,GEOGKEY matches
21048,22041,21048,11048,GEOGKEY matches
15448,22042,15448,5448,GEOGKEY matches
21257,22043,21257,11257,GEOGKEY matches
15229,22044,15229,5229,GEOGKEY matches
19522,22045,19522,9522,GEOGKEY matches
17480,22046,17480,7480,GEOGKEY matches
19532,22047,19532,9532,GEOGKEY matches
20941,22048,20941,10941,GEOGKEY matches
21047,22049,21047,11047,GEOGKEY matches
15362,22050,15362,5362,GEOGKEY matches
21046,22051,21046,11046,GEOGKEY matches
20942,22052,20942,10942,GEOGKEY matches
17306,22053,17306,7306,GEOGKEY matches
21273,22054,21273,11273,GEOGKEY matches
18120,22055,18120,8120,GEOGKEY matches
15507,22056,15507,5507,GEOGKEY matches
17599,22057,17599,7599,GEOGKEY matches
19737,22058,19737,9737,GEOGKEY matches
21031,22059,21031,11031,GEOGKEY matches
16915,22060,16915,6915,GEOGKEY matches
21258,22061,21258,11258,GEOGKEY matches
15735,22062,15735,5735,GEOGKEY matches
15113,22063,15113,5113,GEOGKEY matches
19533,22064,19533,9533,GEOGKEY matches
19944,22065,19944,9944,GEOGKEY matches
16243,22066,16243,6243,GEOGKEY matches
15423,22067,15423,5423,GEOGKEY matches
15433,22068,15433,5433,GEOGKEY matches
15170,22069,15170,5170,GEOGKEY matches
15951,22070,15951,5951,GEOGKEY matches
15104,22071,15104,5104,GEOGKEY matches
15218,22072,15218,5218,GEOGKEY matches
15411,22073,15411,5411,GEOGKEY matches
20432,22074,20432,10432,GEOGKEY matches
20431,22075,20431,10431,GEOGKEY matches
31362,22076,31362,21362,GEOGKEY matches
17956,22077,17956,7956,GEOGKEY matches
31264,22078,31264,21264,GEOGKEY matches
15114,22079,15114,5114,GEOGKEY matches
15014,22080,15014,5014,GEOGKEY matches
15175,22081,15175,5175,GEOGKEY matches
16794,22082,16794,6794,GEOGKEY matches
21059,22083,21059,11059,GEOGKEY matches
15392,22084,15392,5392,GEOGKEY matches
20863,22085,20863,10863,GEOGKEY matches
15904,22086,15904,5904,GEOGKEY matches
15520,22087,15520,5520,GEOGKEY matches
14867,22088,14867,4867,GEOGKEY matches
15355,22089,15355,5355,GEOGKEY matches
15657,22090,15657,5657,GEOGKEY matches
16797,22091,16797,6797,GEOGKEY matches
20866,22092,20866,10866,GEOGKEY matches
14575,22093,14575,4575,GEOGKEY matches
17507,22094,17507,7507,GEOGKEY matches
17508,22095,17508,7508,GEOGKEY matches
14507,22096,14507,4507,GEOGKEY matches
15283,22097,15283,5283,GEOGKEY matches
21225,22098,21225,11225,GEOGKEY matches
16042,22099,16042,6042,GEOGKEY matches
21490,22100,21490,11490,GEOGKEY matches
21145,22101,21145,11145,GEOGKEY matches
21023,22102,21023,11023,GEOGKEY matches
15661,22103,15661,5661,GEOGKEY matches
14221,22104,14221,4221,GEOGKEY matches
15981,22105,15981,5981,GEOGKEY matches
20856,22106,20856,10856,GEOGKEY matches
18021,22107,18021,8021,GEOGKEY matches
21544,22108,21544,11544,GEOGKEY matches
21085,22109,21085,11085,GEOGKEY matches
40034,22110,40034,30034,GEOGKEY matches
22264,22111,22264,12264,GEOGKEY matches
18116,22112,18116,8116,GEOGKEY matches
16904,22113,16904,6904,GEOGKEY matches
15729,22114,15729,5729,GEOGKEY matches
21161,22115,21161,11161,GEOGKEY matches
15616,22116,15616,5616,GEOGKEY matches
20855,22117,20855,10855,GEOGKEY matches
14213,22118,14213,4213,GEOGKEY matches
15721,22119,15721,5721,GEOGKEY matches
19518,22120,19518,9518,GEOGKEY matches
16045,22121,16045,6045,GEOGKEY matches
17465,22122,17465,7465,GEOGKEY matches
17598,22123,17598,7598,GEOGKEY matches
21122,22124,21122,11122,GEOGKEY matches
17954,22125,17954,7954,GEOGKEY matches
19534,22126,19534,9534,GEOGKEY matches
17307,22127,17307,7307,GEOGKEY matches
21148,22128,21148,11148,GEOGKEY matches
17946,22129,17946,7946,GEOGKEY matches
21086,22130,21086,11086,GEOGKEY matches
21545,22131,21545,11545,GEOGKEY matches
17481,22132,17481,7481,GEOGKEY matches
21100,22133,21100,11100,GEOGKEY matches
21557,22134,21557,11557,GEOGKEY matches
20943,22135,20943,10943,GEOGKEY matches
20939,22136,20939,10939,GEOGKEY matches
15675,22137,15675,5675,GEOGKEY matches
40033,22138,40033,30033,GEOGKEY matches
15284,22139,15284,5284,GEOGKEY matches
15592,22140,15592,5592,GEOGKEY matches
15958,22141,15958,5958,GEOGKEY matches
14576,22142,14576,4576,GEOGKEY matches
15412,22143,15412,5412,GEOGKEY matches
16185,22144,16185,6185,GEOGKEY matches
20564,22145,20564,10564,GEOGKEY matches
15929,22146,15929,5929,GEOGKEY matches
15130,22147,15130,5130,GEOGKEY matches
31040,22148,31040,21040,GEOGKEY matches
31079,22149,31079,21079,GEOGKEY matches
20565,22150,20565,10565,GEOGKEY matches
15221,22151,15221,5221,GEOGKEY matches
40010,22152,40010,30010,GEOGKEY matches
32153,22153,32153,4775,"Moved Node, Bad Guess"
21149,22154,21149,11149,GEOGKEY matches
17482,22155,17482,7482,GEOGKEY matches
15627,22156,15627,5627,GEOGKEY matches
15620,22157,15620,5620,GEOGKEY matches
31363,22158,31363,21363,GEOGKEY matches
20395,22159,20395,10395,GEOGKEY matches
20388,22160,20388,10388,GEOGKEY matches
31263,22161,31263,21263,GEOGKEY matches
21024,22162,21024,11024,GEOGKEY matches
14402,22163,14402,4402,GEOGKEY matches
14690,22164,14690,4690,GEOGKEY matches
21026,22165,21026,11026,GEOGKEY matches
14096,22166,14096,4096,GEOGKEY matches
20994,22167,20994,10994,GEOGKEY matches
15773,22168,15773,5773,GEOGKEY matches
14379,22169,14379,4379,GEOGKEY matches
15015,22170,15015,5015,GEOGKEY matches
21025,22171,21025,11025,GEOGKEY matches
15728,22172,15728,5728,GEOGKEY matches
17474,22173,17474,7474,GEOGKEY matches
21820,22174,21820,11820,GEOGKEY matches
17238,22175,17238,7238,GEOGKEY matches
15103,22176,15103,5103,GEOGKEY matches
21830,22177,21830,11830,GEOGKEY matches
15663,22178,15663,5663,GEOGKEY matches
16043,22179,16043,6043,GEOGKEY matches
15736,22180,15736,5736,GEOGKEY matches
15576,22181,15576,5576,GEOGKEY matches
14785,22182,14785,4785,GEOGKEY matches
15435,22183,15435,5435,GEOGKEY matches
22082,22184,22082,12082,GEOGKEY matches
21280,22185,21280,11280,GEOGKEY matches
17883,22186,17883,7883,GEOGKEY matches
19993,22187,19993,9993,GEOGKEY matches
14909,22188,14909,4909,GEOGKEY matches
17892,22189,17892,7892,GEOGKEY matches
19536,22190,19536,9536,GEOGKEY matches
14278,22191,14278,4278,GEOGKEY matches
21276,22192,21276,11276,GEOGKEY matches
14693,22193,14693,4693,GEOGKEY matches
21819,22194,21819,11819,GEOGKEY matches
14577,22195,14577,4577,GEOGKEY matches
16016,22196,16016,6016,GEOGKEY matches
14353,22197,14353,4353,GEOGKEY matches
14786,22198,14786,4786,GEOGKEY matches
16902,22199,16902,6902,GEOGKEY matches
15937,22200,15937,5937,GEOGKEY matches
15404,22201,15404,5404,GEOGKEY matches
15449,22202,15449,5449,GEOGKEY matches
15967,22203,15967,5967,GEOGKEY matches
20342,22204,20342,10342,GEOGKEY matches
15026,22205,15026,5026,GEOGKEY matches
20394,22206,20394,10394,GEOGKEY matches
31262,22207,31262,21262,GEOGKEY matches
15662,22208,15662,5662,GEOGKEY matches
31364,22209,31364,21364,GEOGKEY matches
20389,22210,20389,10389,GEOGKEY matches
14294,22211,14294,4294,GEOGKEY matches
20956,22212,20956,10956,GEOGKEY matches
15621,22213,15621,5621,GEOGKEY matches
22083,22214,22083,12083,GEOGKEY matches
15230,22215,15230,5230,GEOGKEY matches
18172,22216,18172,8172,GEOGKEY matches
15051,22217,15051,5051,GEOGKEY matches
15628,22218,15628,5628,GEOGKEY matches
21123,22219,21123,11123,GEOGKEY matches
21146,22220,21146,11146,GEOGKEY matches
20940,22221,20940,10940,GEOGKEY matches
21101,22223,21101,11101,GEOGKEY matches
17780,22224,17780,7780,GEOGKEY matches
22081,22225,22081,12081,GEOGKEY matches
15033,22226,15033,5033,GEOGKEY matches
21022,22227,21022,11022,GEOGKEY matches
14403,22228,14403,4403,GEOGKEY matches
14696,22229,14696,4696,GEOGKEY matches
15957,22230,15957,5957,GEOGKEY matches
15900,22231,15900,5900,GEOGKEY matches
14359,22233,14359,4359,GEOGKEY matches
21817,22234,21817,11817,GEOGKEY matches
15437,22235,15437,5437,GEOGKEY matches
17677,22236,17677,7677,GEOGKEY matches
31683,22237,31683,21683,GEOGKEY matches
31684,22238,31684,21684,GEOGKEY matches
15960,22239,15960,5960,GEOGKEY matches
15950,22240,15950,5950,GEOGKEY matches
14787,22241,14787,4787,GEOGKEY matches
17676,22242,17676,7676,GEOGKEY matches
17898,22243,17898,7898,GEOGKEY matches
17597,22244,17597,7597,GEOGKEY matches
21489,22245,21489,11489,GEOGKEY matches
17476,22246,17476,7476,GEOGKEY matches
17483,22247,17483,7483,GEOGKEY matches
15406,22248,15406,5406,GEOGKEY matches
15413,22250,15413,5413,GEOGKEY matches
15647,22251,15647,5647,GEOGKEY matches
15730,22252,15730,5730,GEOGKEY matches
15622,22253,15622,5622,GEOGKEY matches
14581,22254,14581,4581,GEOGKEY matches
21284,22255,21284,11284,GEOGKEY matches
16047,22256,16047,6047,GEOGKEY matches
15222,22257,15222,5222,GEOGKEY matches
21821,22258,21821,11821,GEOGKEY matches
21099,22259,21099,11099,GEOGKEY matches
14350,22260,14350,4350,GEOGKEY matches
15117,22261,15117,5117,GEOGKEY matches
20955,22262,20955,10955,GEOGKEY matches
21055,22263,21055,11055,GEOGKEY matches
17984,22264,17984,7984,GEOGKEY matches
17682,22265,17682,7682,GEOGKEY matches
15737,22266,15737,5737,GEOGKEY matches
19528,22267,19528,9528,GEOGKEY matches
15820,22268,15820,5820,GEOGKEY matches
15017,22269,15017,5017,GEOGKEY matches
15936,22271,15936,5936,GEOGKEY matches
17768,22272,17768,7768,GEOGKEY matches
21763,22273,21763,11763,GEOGKEY matches
17789,22274,17789,7789,GEOGKEY matches
22031,22275,22031,12031,GEOGKEY matches
20429,22276,20429,10429,GEOGKEY matches
14755,22277,14755,4755,GEOGKEY matches
15434,22278,15434,5434,GEOGKEY matches
18079,22279,18079,8079,GEOGKEY matches
20094,22280,20094,10094,GEOGKEY matches
17675,22281,17675,7675,GEOGKEY matches
31261,22282,31261,21261,GEOGKEY matches
17681,22283,17681,7681,GEOGKEY matches
20098,22284,20098,10098,GEOGKEY matches
17894,22285,17894,7894,GEOGKEY matches
31365,22286,31365,21365,GEOGKEY matches
15394,22287,15394,5394,GEOGKEY matches
20430,22288,20430,10430,GEOGKEY matches
16029,22289,16029,6029,GEOGKEY matches
17664,22290,17664,7664,GEOGKEY matches
15280,22291,15280,5280,GEOGKEY matches
15935,22292,15935,5935,GEOGKEY matches
21255,22293,21255,11255,GEOGKEY matches
18314,22294,18314,8314,GEOGKEY matches
14694,22295,14694,4694,GEOGKEY matches
14361,22296,14361,4361,GEOGKEY matches
14510,22297,14510,4510,GEOGKEY matches
16896,22298,16896,6896,GEOGKEY matches
17210,22299,17210,7210,GEOGKEY matches
15889,22300,15889,5889,GEOGKEY matches
20850,22301,20850,10850,GEOGKEY matches
15637,22302,15637,5637,GEOGKEY matches
16030,22303,16030,6030,GEOGKEY matches
15843,22304,15843,5843,GEOGKEY matches
14467,22305,14467,4467,GEOGKEY matches
21628,22306,21628,11628,GEOGKEY matches
22296,22307,22296,12296,GEOGKEY matches
21147,22308,21147,11147,GEOGKEY matches
20381,22309,20381,10381,GEOGKEY matches
15260,22310,15260,5260,GEOGKEY matches
19537,22311,19537,9537,GEOGKEY matches
22036,22312,22036,12036,GEOGKEY matches
15623,22313,15623,5623,GEOGKEY matches
18783,22314,18783,8783,GEOGKEY matches
15629,22315,15629,5629,GEOGKEY matches
22034,22316,22034,12034,GEOGKEY matches
15129,22317,15129,5129,GEOGKEY matches
14823,22318,14823,4823,GEOGKEY matches
20854,22319,20854,10854,GEOGKEY matches
14788,22320,14788,4788,GEOGKEY matches
16031,22321,16031,6031,GEOGKEY matches
18004,22322,18004,8004,GEOGKEY matches
20849,22323,20849,10849,GEOGKEY matches
15021,22325,15021,5021,GEOGKEY matches
14610,22326,14610,4610,GEOGKEY matches
20400,22327,20400,10400,GEOGKEY matches
15125,22328,15125,5125,GEOGKEY matches
15630,22329,15630,5630,GEOGKEY matches
15964,22330,15964,5964,GEOGKEY matches
17596,22331,17596,7596,GEOGKEY matches
15980,22332,15980,5980,GEOGKEY matches
17669,22333,17669,7669,GEOGKEY matches
20145,22334,20145,10145,GEOGKEY matches
31038,22335,31038,21038,GEOGKEY matches
16156,22336,16156,6156,GEOGKEY matches
17767,22337,17767,7767,GEOGKEY matches
31444,22338,31444,21444,GEOGKEY matches
21288,22339,21288,11288,GEOGKEY matches
31081,22340,31081,21081,GEOGKEY matches
15228,22341,15228,5228,GEOGKEY matches
20146,22342,20146,10146,GEOGKEY matches
31445,22343,31445,21445,GEOGKEY matches
40011,22344,40011,30011,GEOGKEY matches
21058,22345,21058,11058,GEOGKEY matches
